 select hdr.[year], pos.RegArea, hal.frklen, hal.bbage, hal.srfage
from stlHeader hdr, stlHalibut hal, stlStationPositions pos
where hdr.[year] between 1998 and 2011 and hdr.stlkey = hal.stlkey and STR(hdr.stnno,4,0) = pos.Station and
      hdr.[year] = pos.[Year] and hdr.prpcde IN ('SG','ES','BG','DE','SE') and
      (hal.srfage IS NOT NULL or hal.bbage IS NOT NULL)

	
year,area,length,bbage,srfage
1998,3A,83,NULL,15
1998,3A,77,NULL,14
1998,3A,68,NULL,8
1998,3A,71,NULL,10
1998,3A,83,NULL,12
1998,3A,89,NULL,13
1998,3A,78,NULL,12
1998,3A,87,NULL,12
1998,3A,107,NULL,14
1998,3A,81,NULL,11
1998,3A,123,NULL,15
1998,3A,112,NULL,12
1998,3A,114,22,18
1998,3A,110,17,16
1998,3A,90,18,15
1998,3A,90,NULL,10
1998,3A,143,NULL,14
1998,3A,130,NULL,18
1998,3A,85,NULL,15
1998,3A,99,17,13
1998,3A,112,22,15
1998,3A,101,NULL,11
1998,3A,79,NULL,10
1998,3A,114,NULL,11
1998,3A,125,NULL,13
1998,3A,116,NULL,11
1998,3A,79,NULL,9
1998,3A,82,NULL,11
1998,3A,87,10,10
1998,3A,84,NULL,8
1998,3A,79,NULL,11
1998,3A,83,NULL,10
1998,3A,100,NULL,10
1998,3A,76,NULL,11
1998,3A,116,NULL,10
1998,3A,110,17,16
1998,3A,104,NULL,11
1998,3A,115,NULL,14
1998,3A,92,18,20
1998,3A,95,NULL,18
1998,3A,107,NULL,10
1998,3A,96,NULL,12
1998,3A,94,NULL,18
1998,3A,84,NULL,9
1998,3A,77,NULL,15
1998,3A,116,NULL,15
1998,3A,84,NULL,14
1998,3A,75,NULL,14
1998,3A,79,14,13
1998,3A,117,NULL,14
1998,3A,80,NULL,13
1998,3A,109,NULL,11
1998,3A,80,NULL,16
1998,3A,75,NULL,12
1998,3A,88,NULL,12
1998,3A,86,NULL,15
1998,3A,93,NULL,11
1998,3A,80,NULL,10
1998,3A,83,19,16
1998,3A,76,NULL,14
1998,3A,103,NULL,14
1998,3A,116,NULL,15
1998,3A,128,14,11
1998,3A,78,NULL,10
1998,3A,95,18,16
1998,3A,81,NULL,9
1998,3A,61,NULL,8
1998,3A,79,NULL,13
1998,3A,87,NULL,10
1998,3A,94,NULL,13
1998,3A,79,NULL,9
1998,3A,99,NULL,11
1998,3A,85,17,15
1998,3A,102,NULL,18
1998,3A,105,NULL,17
1998,3A,94,NULL,10
1998,3A,93,NULL,13
1998,3A,87,NULL,14
1998,3A,104,19,18
1998,3A,126,NULL,13
1998,3A,114,NULL,14
1998,3A,124,NULL,17
1998,3A,132,NULL,14
1998,3A,87,15,15
1998,3A,78,NULL,14
1998,3A,79,NULL,14
1998,3A,71,NULL,12
1998,3A,88,NULL,14
1998,3A,80,15,13
1998,3A,75,NULL,13
1998,3A,70,NULL,8
1998,3A,71,NULL,15
1998,3A,81,NULL,15
1998,3A,79,NULL,11
1998,3A,78,NULL,11
1998,3A,85,NULL,13
1998,3A,119,NULL,13
1998,3A,78,NULL,8
1998,3A,93,NULL,10
1998,3A,149,NULL,15
1998,3A,92,NULL,10
