"","age","len","n","sd","se","weight","reg","year","sex"
"812",11,77.2368421052632,76,7.21825172010071,0.0949769963171146,4.10527944510056,"2B","2014","M"
"9101",12,80.2888888888889,90,7.74196857415773,0.086021873046197,4.65452070504777,"2B","2014","M"
"108",13,83.3188405797101,69,8.27912462270795,0.119987313372579,5.24806664780905,"2B","2014","M"
"1111",14,82.5526315789474,76,6.81252716073774,0.0896385152728651,5.09330288471157,"2B","2014","M"
"1211",15,84.4594594594595,74,6.68916357199123,0.0903941023242058,5.48443381614859,"2B","2014","M"
"1311",16,83.4565217391304,46,6.41770648454252,0.13951535835962,5.27621670147441,"2B","2014","M"
"1411",17,84.2962962962963,27,5.86918166760013,0.217377098800005,5.45017986367238,"2B","2014","M"
"1511",18,89.1052631578947,19,6.90325798157898,0.363329367451525,6.52346284084056,"2B","2014","M"
"1611",19,86.7777777777778,9,5.11805084426136,0.56867231602904,5.98735397904816,"2B","2014","M"
"171",20,92.5,8,7.23088613419644,0.903860766774555,7.36360577707652,"2B","2014","M"
"312",4,58,1,NA,NA,1.62292337272982,"2C","2014","M"
"321",5,70,3,10.4403065089106,3.48010216963685,2.9847569034127,"2C","2014","M"
"331",6,65.2,5,4.08656334834051,0.817312669668102,2.37111995703137,"2C","2014","M"
"341",7,67.25,12,4.39265916563698,0.366054930469748,2.62128553532937,"2C","2014","M"
"351",8,69.8823529411765,34,8.06700990710652,0.237264997267839,2.96853434626022,"2C","2014","M"
"361",9,69.0326086956522,92,6.07905987337675,0.0660767377540951,2.85316705313869,"2C","2014","M"
"371",10,74.9347826086957,92,9.65538550152147,0.104949842407842,3.72190856113186,"2C","2014","M"
"381",11,79.296875,64,7.91157417663394,0.123618346509905,4.47075623532611,"2C","2014","M"
"391",12,82.3571428571429,84,10.0464497801047,0.119600592620294,5.05432816003963,"2C","2014","M"
"401",13,84.7142857142857,56,10.1653856264809,0.181524743330016,5.53822853006463,"2C","2014","M"
"411",14,84.7027027027027,74,10.3032508897292,0.139233120131475,5.53577543594315,"2C","2014","M"
"421",15,86.8297872340426,47,10.3405473510334,0.220011645766668,5.99898841233564,"2C","2014","M"
"431",16,85.1515151515152,33,6.75518880251143,0.204702690985195,5.63137731449433,"2C","2014","M"
"441",17,87.9583333333333,24,10.1915530525621,0.424648043856755,6.25530900887272,"2C","2014","M"
"451",18,86.2307692307692,13,5.15030494491744,0.396177303455188,5.86593220068693,"2C","2014","M"
"46",19,90.8,10,6.57942922212017,0.657942922212017,6.93408985135549,"2C","2014","M"
"47",20,93.2857142857143,7,9.81010169356543,1.40144309908078,7.56819604448332,"2C","2014","M"
"612",4,NA,0,NA,NA,NA,"3A","2014","M"
"621",5,53,1,NA,NA,1.21183958079205,"3A","2014","M"
"631",6,61.4444444444444,9,4.8762462794426,0.541805142160289,1.95647818825786,"3A","2014","M"
"641",7,62.6666666666667,15,4.76095228569523,0.317396819046349,2.08540246245543,"3A","2014","M"
"651",8,64.5882352941177,34,6.01068567186717,0.176784872701976,2.29979111824953,"3A","2014","M"
"661",9,65.6746987951807,83,5.51297457165199,0.0664213803813493,2.42751055076205,"3A","2014","M"
"671",10,68.5728155339806,103,6.45588641830313,0.0626785089155644,2.79205350086212,"3A","2014","M"
"681",11,73.2871287128713,101,6.13243285110137,0.0607171569415978,3.46322801785016,"3A","2014","M"
"691",12,74.6206896551724,87,7.01699163544239,0.0806550762694528,3.67159959563796,"3A","2014","M"
"701",13,74.3222222222222,90,6.31180057249248,0.0701311174721386,3.62423090989421,"3A","2014","M"
"711",14,75.9910714285714,112,5.64808113108518,0.0504292958132605,3.8945926107024,"3A","2014","M"
"721",15,78.6936936936937,111,7.69981439303193,0.0693676972345219,4.36150817290594,"3A","2014","M"
"731",16,79.25,68,5.81140155725807,0.0854617876067363,4.46219919356592,"3A","2014","M"
"74",17,79.9555555555555,45,6.01874177260102,0.133749817168912,4.59220139592739,"3A","2014","M"
"75",18,81.0980392156863,51,6.39141581172993,0.125321878661371,4.80822589036677,"3A","2014","M"
"76",19,83.6153846153846,26,7.9753466285895,0.306744101099596,5.30882704829286,"3A","2014","M"
"77",20,85.3214285714286,28,7.14429879631341,0.255153528439765,5.66786659065206,"3A","2014","M"
"912",4,NA,0,NA,NA,NA,"3B","2014","M"
"921",5,NA,0,NA,NA,NA,"3B","2014","M"
"931",6,61,3,3.60555127546399,1.20185042515466,1.91099689378465,"3B","2014","M"
"941",7,60.125,16,5.41448674083395,0.338405421302122,1.82360093120041,"3B","2014","M"
"951",8,61.8787878787879,33,5.96739880390514,0.180830266785004,2.00164354704586,"3B","2014","M"
"961",9,64.1565217391304,115,6.14102012262239,0.0534001749793251,2.25035762769058,"3B","2014","M"
"971",10,67.4152542372881,118,7.02903170336766,0.0595680652827768,2.64221289731141,"3B","2014","M"
"981",11,71.8759689922481,129,7.54259545011073,0.058469732171401,3.25179040085624,"3B","2014","M"
"991",12,73.6978417266187,139,7.04195982711149,0.0506615814900107,3.52650715245777,"3B","2014","M"
"1001",13,75.0416666666667,96,7.40258371205859,0.0771102470006103,3.73913652064838,"3B","2014","M"
"1011",14,76.4651162790698,86,6.59535964219159,0.0766902283975766,3.97386016109323,"3B","2014","M"
"102",15,78.5238095238095,84,7.24190647613353,0.086213172334923,4.33107520644219,"3B","2014","M"
"103",16,79.26,50,6.48014235167401,0.12960284703348,4.46402374482174,"3B","2014","M"
"104",17,81.1707317073171,41,7.53625384068368,0.183811069284968,4.8222038895792,"3B","2014","M"
"105",18,83.25,28,9.33977951996092,0.333563554284319,5.23403063623978,"3B","2014","M"
"106",19,84.3636363636364,11,4.6748845391673,0.424989503560664,5.46429904190728,"3B","2014","M"
"107",20,88,13,7.32575365861197,0.563519512200921,6.26491486209098,"3B","2014","M"
"113",3,41.5,2,14.8492424049175,7.42462120245875,0.548614332154253,"Full","1980s","F"
"23",4,51.7090909090909,55,9.68900240875023,0.176163680159095,1.11878872253898,"Full","1980s","F"
"313",5,61.5570175438597,228,9.71539011891373,0.0426113601706742,1.96811577524062,"Full","1980s","F"
"410",6,68.8170212765957,705,9.22242478719738,0.0130814535988615,2.82439826320059,"Full","1980s","F"
"513",7,78.1634768740032,1254,11.4476318046668,0.00912889298617767,4.2670118874224,"Full","1980s","F"
"613",8,87.6370089919546,2113,12.8876737029565,0.00609923033741436,6.18157250587447,"Full","1980s","F"
"712",9,96.4453411592076,2726,14.3346549458185,0.00525849411071844,8.43067946286598,"Full","1980s","F"
"813",10,107.234872611465,2512,16.4438320282074,0.00654611147619719,11.8872141311274,"Full","1980s","F"
"913",11,116.743902439024,2296,17.2918484785672,0.00753129289136204,15.6541735694289,"Full","1980s","F"
"1010",12,125.460428073668,2009,17.5972129724663,0.00875919013064523,19.7675676790372,"Full","1980s","F"
"114",13,134.09756097561,1517,17.6041859261119,0.0116046050930203,24.5264652896948,"Full","1980s","F"
"123",14,140.864361702128,1128,18.5401611449275,0.0164363130717443,28.7678219669696,"Full","1980s","F"
"133",15,147.704761904762,735,19.0400028240177,0.0259047657469628,33.5451304950989,"Full","1980s","F"
"143",16,151.620481927711,498,20.3572356776476,0.0408779832884489,36.5129416657657,"Full","1980s","F"
"153",17,158.691394658754,337,19.6869778875976,0.0584183320106754,42.3237613648126,"Full","1980s","F"
"163",18,162.033333333333,270,20.6400105904702,0.0764444836684081,45.2803174248934,"Full","1980s","F"
"173",19,167.005494505495,182,21.4062254725263,0.117616623475419,49.9389006083431,"Full","1980s","F"
"182",20,174.811594202899,138,21.8573847029581,0.158386845673609,57.9053741230686,"Full","1980s","F"
"19",3,NA,0,NA,NA,NA,"2B","1980s","F"
"212",4,60.3333333333333,9,9.60468635614927,1.06718737290547,1.84415335485062,"2B","1980s","F"
"3102",5,64.672131147541,61,8.92883215856626,0.146374297681414,2.30948398347121,"2B","1980s","F"
"471",6,69.9333333333333,180,9.40379098641612,0.0522432832578673,2.97555661664355,"2B","1980s","F"
"514",7,77.4233983286908,359,9.80360831047104,0.0273081011433734,4.13749364987772,"2B","1980s","F"
"6102",8,86.438202247191,534,11.1763503890607,0.0209294951106005,5.91177460057347,"2B","1980s","F"
"751",9,92.6797853309481,559,11.7303699806166,0.0209845616826772,7.41007797251817,"2B","1980s","F"
"814",10,101.967213114754,488,14.6911723490468,0.0301048613709975,10.0972590088144,"2B","1980s","F"
"9102",11,108.764864864865,370,14.5386638284489,0.0392936860228349,12.4455604727806,"2B","1980s","F"
"1031",12,115.416356877323,269,16.033007933465,0.0596022599757063,15.0847309135168,"2B","1980s","F"
"1112",13,125.020408163265,147,19.3466819171176,0.131610081068827,19.5438208060696,"2B","1980s","F"
"1212",14,132.725274725275,91,18.0450460632188,0.198297209485921,23.7225344756258,"2B","1980s","F"
"1312",15,135.52,50,17.0128882717468,0.340257765434935,25.3794560042462,"2B","1980s","F"
"1412",16,144.12,50,17.4328332025918,0.348656664051836,30.9783225142821,"2B","1980s","F"
"1512",17,151.392857142857,28,16.9734853919048,0.606195906853744,36.3356357969124,"2B","1980s","F"
"1612",18,150.8125,32,18.9642065226114,0.592631453831607,35.8862678962083,"2B","1980s","F"
